,Gene,Image,MTOC,MTOC leading edge,Non MTOC1,Non MTOC2,Non MTOC3,timepoint
20_14,arhgdia_nocodazole,20,0.8073234524847426,,1.2411020104244226,1.5227075671958619,1.3422721507519477,5h
20_15,arhgdia_nocodazole,20,0.8073234524847426,,1.2411020104244226,1.5227075671958619,1.3422721507519477,5h
20_16,arhgdia_nocodazole,20,0.7860514074224982,,1.2724052642828787,1.5454697179434311,1.2024635476570324,5h
20_17,arhgdia_nocodazole,20,0.7860514074224982,,1.2724052642828787,1.5454697179434311,1.2024635476570324,5h
20_18,arhgdia_nocodazole,20,0.6134684818973798,,1.2282125302332838,1.5720646869937231,1.4027115049609935,5h
20_19,arhgdia_nocodazole,20,0.7549077153851169,,1.2458450726518724,1.5157525804960714,1.4212808411035645,5h
20_20,arhgdia_nocodazole,20,0.7549077153851169,,1.2458450726518724,1.5157525804960714,1.4212808411035645,5h
20_21,arhgdia_nocodazole,20,0.8836158910906835,,1.1982789298308045,1.4997665844154606,1.450444453146415,5h
20_22,arhgdia_nocodazole,20,0.8836158910906835,,1.1982789298308045,1.4997665844154606,1.450444453146415,5h
20_23,arhgdia_nocodazole,20,0.869293112620083,,1.2151433632963715,1.490479752312601,1.4685009713356854,5h
20_24,arhgdia_nocodazole,20,0.9916166931832088,,1.240434687965707,1.4343785204656399,1.4913834755999353,5h
20_25,arhgdia_nocodazole,20,0.9916166931832088,,1.240434687965707,1.4343785204656399,1.4913834755999353,5h
20_26,arhgdia_nocodazole,20,1.1158643128276193,,1.2563171997422242,1.3842589132222136,1.5075908665391344,5h
20_27,arhgdia_nocodazole,20,1.1087828533796322,,1.2629784332111496,1.38184463574553,1.51301008945713,5h
20_28,arhgdia_nocodazole,20,1.0923675828712989,,1.3585680751173708,1.3762865529669674,1.3356686585617144,5h
20_29,arhgdia_nocodazole,20,1.0742147849540324,,1.2142032938214622,1.457403669894643,1.346601296327073,5h
